demande;motif;groupe_motif
mon enfant vient d'avoir 16 ans et j'aimerais faire son recensement;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens avec mon gamin pour le recensement des jeunes;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens avec mon gamin pour le recensement des jeunes;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens car j'ai reçu un courrier pour recenser mon enfant;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens pour être recenser;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je veux rien faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je dois recenser mon enfant;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens de faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens me faire recenser car j'ai atteint l'âge de 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens d'avoir 16 ans là et je voudrais savoir les démarches que j'ai à faire;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
il vient pour un recensement;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
salut c'est pour le recensement des jeunes j'ai 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai 17 ans et j'étais censé me faire recenser l'année dernière et c'est pour ça que je viens;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
j'ai 2 enfants que je vais recenser;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
bonjour Ma fille va avoir 16 ans et j'aimerais te connaître les démarches pour le recensement;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens avec mon gamin pour le recensement des jeunes;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je voudrais me faire recenser je ne sais pas à partir de quel âge il faut le faire et je ne sais pas quelle démarche il faut faire;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens avec mon gamin pour le recensement des jeunes;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je vous amène mon mon fiston pour qu'il se passera santé enfin j'espère que ça se passe très bien merci au revoir;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
moi si elle vient d'avoir 16 ans et je veux savoir quoi faire;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
ma fille vient d'avoir 16 ans et je suis venu pour avoir plus d'informations sur le recensement;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
bonjour vous avez téléphoné la semaine dernière pour avoir pour pour donc ma fille du coup je;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
bonjour vous avais téléphoné la semaine dernière pour que pour demander à ce que les enfants du foyer soir sens et du coup je viens recenser ma fille merci;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
bonjour Ma fille vient d'avoir 16 ans et il me faudrait le d'ongles le document de recensement;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
bonjour mon fils vient d'avoir 16 ans dois-je faire pour le déclarer s'il vous plaît;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai 16 ans je crois que je dois faire donc je viens de recenser;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai 7 ans je dois faire une journée d'appel du coup je viens pour leur santé;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
mon enfant vient d'avoir 16 ans je crois qu'il faut le recenser à la mairie;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour le recensement de ma fille;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens me faire recenser car j'ai atteint l'âge de 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens pour le recensement;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
je viens faire recenser mon ado qui vient d'avoir 16 ans;Recensement des jeunes;01a - Etat Civil naissance, décés et actes administratifs
oui bonjour je suis venu la semaine dernière faire la déclaration de naissance de mon fils et j'ai vu sur la sur l'acte de naissance que vous étiez trompé sur l'orthographe du coup je viens pour rectifier son prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens pour modifier une erreur sur un acte de naissance;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
bonjour Julien est-ce que je voudrais avoir des renseignements sur les procédures pour les changements de prénom je voudrais changer le mien car ça m'handicape pas mal dans ma vie professionnelle;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je voudrais changer de prénom parce que il me fait honte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaiterais changer mon prénom parce qu'ils me feront;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite corriger la date de naissance de mon bébé;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
ma fille je souhaiterais changer de prénom je voulais savoir comment faire;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite changer mon prénom parce qu'il me fait honte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je suis une personne transgenre je viens de finir ma transition je souhaite changer mon prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite changer mon prénom parce qu'il me fait honte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
on s'aperçut que sur un des documents il y avait une erreur sur le prénom d'un nos enfants nous convient modifier tout ça;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
j'ai changé de prénom et je voudrais faire rectifier mes actes de naissance et tout acte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens de rectifier mon acte de naissance;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite changer mon prénom parce qu'il me fait honte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens pour un problème sur un acte de naissance;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je vais rectifier mon acte de naissance;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens pour un changement de prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
j'aimerais faire changer mon prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite corriger un acte de naissance de mon bébé;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
ben je viens pour signaler un changement de un changement de nom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite changer mon prénom parce qu'il me fait honte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite corriger l'acte de naissance de mon bébé;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je me suis rendu compte qu'il y avait une erreur la sur notre contrat de mariage et je voudrais le modifier;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
il y a 3 semaines que nous sommes mariés dans cette mairie et nous venons de remarquer une erreur de l'acte que nous avons signé;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
ce que j'ai retiré il y a 2 semaines une erreur sur le nom de mon enfant je souhaite le corriger;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
l'ordre des prénoms que j'ai proposé pour ma fille ne correspond pas à ce qui a été mentionné sur son là je viens pour corriger les horaires;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je suis un homme d'affaires mon prénom est très humiliant a actuellement lorsque je discute avec mes partenaires mais je souhaite le changer;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai une erreur sur ma carte d'identité mon prénom a été écorché il n'est pas écrit correctement;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite changer mon prénom car il me fait honte je m'appelle Gildas;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je souhaiterais changer de prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je m'appelle Mouloud et j'ai envie de m'appeler Jean-Edouard;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'aimerais savoir s'il est possible de changer de prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour il y a une erreur dans l'acte de naissance de mon fils il s'appelle romain et non pas roman je viens pour le faire changer;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour mes parents m'ont appelé pommes j'en ai un j'en ai un peu assez j'aimerais changer de prénom et serait-il possible de changer merci;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'aimerais rectifier des quelques renseignements sur mon acte de mariage serait-il possible de le faire merci;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens de changer mon prénom je ne sais pas quoi faire je suis venu pour rendez-vous;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour Monique c'est ici qu'il fallait venir pour pour changer les prénoms j'aimerais bien changer le mien et celui de mon conjoint;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je souhaiterais changer le prénom de ma fille je voudrais savoir la procédure à suivre;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
bonjour en merci de changer de prénom quelles sont les démarches;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite corriger l'acte de naissance de mon bébé;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
bonjour j'aimerais changer de prénom quelle est la démarche à suivre;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
bonjour en fait mon grand-père il est pas mort et du coup j'ai rectifié son acte de décès;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens effectué une démarche pour changer de prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
il y a une erreur sur mon acte de naissance et je voudrais le corriger;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour un changement de prénom s'il vous plaît;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je viens rectifier mon acte de naissance;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite modifier un acte de naissance;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je veux changer de prénom;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite changer mon prénom parce qu'il me fait honte;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
je souhaite corriger l'acte de naissance de mon bébé;Changement de prénoms, rectification d’actes;01a - Etat Civil naissance, décés et actes administratifs
oui bonjour j'ai revois parce que je suis prêt légaliser la signature de mon certificat de naissance;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens pour certifier conforme une copie de mon acte de naissance;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens parce que je voudrais faire authentifier un document qui est en fait une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je voudrais déclarer un décès je sais pas comment hacker service aller;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'ai un document à certifier sur un contrat de mariage;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin de certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
donne-moi un ticket pour une reconnaissance de dette robot de merde;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'aimerais faire légaliser ma signature;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je voudrais faire une copie conforme une signature;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens de faire déclarer une signature conforme sur mon document;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'aimerais récupérer un état civil et faire certifier la signature;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'aimerais faire attester un document;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un certificat de naissance;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'habite avec ma copine depuis quelques années là et je voudrais un papier pour prouver que qu'on habite ensemble;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens pour légaliser un contrat;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'ai accueilli chez moi et ranger récemment et je viens pour lui faire établir une attestation d'accueil;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens pour une légalisation de signature sur un document administratif;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
ma compagne et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
puis-je avoir une copie d'acte de naissance s'il vous plaît;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'aimerais faire certifier la copie provisoire de ma carte d'identité s'il vous plaît;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser de reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens légaliser un contrat que j'ai effectué la semaine dernière;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai un dossier de d'état civil naissance et j'ai envie de légaliser;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
bonjour j'aurais besoin d'un certificat d'attestation d'une commune s'il vous plaît;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens pour faire légaliser ma signature;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
alors j'ai j'ai obtenir un certificat mais j'aurais souhaité le légaliser pourriez-vous m'aider merci;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je suis venu pour renouveler mon certificat de vie commune en 7 fois par an et je prends rendez-vous;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
Bonjour pour recevoir une facture de mon prestataire j'ai vraiment besoin d'un certificat de vie commune est-ce que c'est possible de prendre rendez-vous avec vous;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
bonjour il me faudrait un certificat pour ma fille car la Russie;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'aimerais savoir si une signature électronique est légal;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
bonjour j'aimerais avoir un certificat de vie commune s'il vous plaît;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai perdu des papiers et j'aimerais avoir un certificat de naissance;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je viens de Cali j'ai une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin de faire certifier une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour une reconnaissance de dette pour signer papier;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
mon compagnon et moi avons besoin d'un certificat de vie commune;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un certificat;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
je veux légaliser une reconnaissance de dette;Certificats, légalisation de signature;01a - Etat Civil naissance, décés et actes administratifs
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
oui bonjour ma compagne m'a même envoyé effectuer notre mariage à la mairie de Roanne et nous souhaiterions vous rencontrer pour faire tous les documents d'état civil;Mariage;01b - Etat Civil Mariages
voilà je dois me marier dans 3 mois et on m'a dit qu'il fallait que je remplisse un certain nombre de dossiers ou un dossier pour me marier donc si vous pouviez m'aider à moi je suis comme ça direct;Mariage;01b - Etat Civil Mariages
je viens réserver une date pour la planification de mon mariage;Mariage;01b - Etat Civil Mariages
je veux modifier mon rendez-vous de dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
je viens ce que je voudrais me marier et du coup pour le rendez-vous;Mariage;01b - Etat Civil Mariages
je veux modifier mon rendez-vous de dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
ma future épouse et moi voulons déposé notre contrat;Mariage;01b - Etat Civil Mariages
je veux modifier mon rendez-vous de dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
je veux modifier mon rendez-vous de dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
je viens pour déposer un dossier de mariage;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
j'aimerais remplir un dossier de mariage;Mariage;01b - Etat Civil Mariages
je veux modifier mon rendez-vous de dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
je viens pour un renseignement sur les sur le mariage à la mairie;Mariage;01b - Etat Civil Mariages
je veux modifier mon rendez-vous de dépôt de dossier de mariage;Mariage;01b - Etat Civil Mariages
je viens de déposer un dossier de mariage;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
on va se marier avec ma copine et je voudrais avoir des informations sur les démarches;Mariage;01b - Etat Civil Mariages
un bonjour je vais me marier avec mon ami j'aimerais déposer un dossier auprès de la mairie merci;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
bonjour je viens pour l'organisation de mon mariage;Mariage;01b - Etat Civil Mariages
bonjour je viens pour marier;Mariage;01b - Etat Civil Mariages
bonjour je viens permets marié;Mariage;01b - Etat Civil Mariages
alors je viens pour marier;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
bonjour j'aimerais annuler une date de mariage déjà enregistré;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
j'envisage de me marier l'année prochaine je voudrais savoir toutes les démarches qu'il faut faire vis-à-vis de la mairie;Mariage;01b - Etat Civil Mariages
Bonjour je voudrais me marier mais je ne sais pas quel quel papier il me faudrait ou comment comment comment réaliser tout ça pourriez-vous m'aider merci;Mariage;01b - Etat Civil Mariages
je suis venu pour récupérer le certificat de mariage;Mariage;01b - Etat Civil Mariages
Ah bonjour je suis venu je suis avec ma femme on est venu pour avec notre dossier de mariage pour pour mettre à jour mon dossier;Mariage;01b - Etat Civil Mariages
Bonjour je suis déjà venu du coup j'ai rendez-vous avec vous si rendez-vous avec vous vous m'avez demandé des justificatifs pour le dossier de mariage je suis venu donc vous les apporter;Mariage;01b - Etat Civil Mariages
bonjour je vais me marier dans 15 jours et je voudrais savoir la procédure à suivre pour afficher les ben si c'est pas trop tard;Mariage;01b - Etat Civil Mariages
Bonjour j'aimerais savoir quelles sont les démarches pour la publication des bans pour un mariage;Mariage;01b - Etat Civil Mariages
Bonjour j'aimerais savoir quelles sont les démarches pour la publication des bans;Mariage;01b - Etat Civil Mariages
bonjour ma compagne du coup elle est enceinte et du coup on aimerait se marier j'ai dit trop de du coup;Mariage;01b - Etat Civil Mariages
je viens de prendre connaissance des dates de disponible pour les mariages de l'été prochain;Mariage;01b - Etat Civil Mariages
je viens déposer un dossier de mariage;Mariage;01b - Etat Civil Mariages
bonjour je viens pour déposer un demande un dossier de mariage;Mariage;01b - Etat Civil Mariages
je viens déposer un dossier de mariage;Mariage;01b - Etat Civil Mariages
je me marie;Mariage;01b - Etat Civil Mariages
nous voulons nous marier à la mairie;Mariage;01b - Etat Civil Mariages
je souhaite m'inscrire sur les listes électorales;Inscription sur liste électorale;02 - Elections
je viens inscrire mon fils qui vient d'avoir 18 ans aux élections municipales prévu pour 2020;Inscription sur liste électorale;02 - Elections
je viens de déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
bonjour j'aimerais m'inscrire sur la liste électorale;Inscription sur liste électorale;02 - Elections
je viens pour m'inscrire pour les élections;Inscription sur liste électorale;02 - Elections
je voudrais m'inscrire pour les prochains vote;Inscription sur liste électorale;02 - Elections
je viens déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
je viens parce que j'ai déménagé du coup par rapport aux élections ben je voudrais m'inscrire sur la liste;Inscription sur liste électorale;02 - Elections
je veux déménager je voulais m'inscrire sur les listes électorales;Inscription sur liste électorale;02 - Elections
je souhaite m'inscrire sur liste du PS;Inscription sur liste électorale;02 - Elections
je viens déposer un dépôt de dossier d'inscription sur chorale de Roanne;Inscription sur liste électorale;02 - Elections
je viens déposer un dossier inscription sur liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
Bonjour je voudrais pouvoir voter aux prochaines élections donc je viens mon registre et pour pouvoir le faire;Inscription sur liste électorale;02 - Elections
je souhaiterais m'inscrire sur les listes électorales de ma ville;Inscription sur liste électorale;02 - Elections
j'aimerais savoir quelle pièce il faut que je donne pour pouvoir m'inscrire sur les listes électorales;Inscription sur liste électorale;02 - Elections
je viens de déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
je viens de déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
j'aimerais m'inscrire sur les listes électorales;Inscription sur liste électorale;02 - Elections
j'aimerais m'inscrire pour les élections;Inscription sur liste électorale;02 - Elections
je viens déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
je viens pour m'inscrire pour la première fois sur la sur la liste électorale de la commune;Inscription sur liste électorale;02 - Elections
je viens m'inscrire pour voter;Inscription sur liste électorale;02 - Elections
je viens d'arriver dans la région et je voudrais pouvoir voter dans dans cette agglomération;Inscription sur liste électorale;02 - Elections
Je suis nouveau en ville et j'aimerais participer aux prochaines élections;Inscription sur liste électorale;02 - Elections
bonjour je viens d'emménager à Roanne depuis 2 mois et ben j'aimerais participer aux prochaines élections municipales;Inscription sur liste électorale;02 - Elections
je viens déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
bonjour je viens m'inscrire sur les listes électorales;Inscription sur liste électorale;02 - Elections
j'ai bien pour m'inscrire pour voter;Inscription sur liste électorale;02 - Elections
je viens de m'inscrire pour voter;Inscription sur liste électorale;02 - Elections
bonjour j'aimerais modifier des éléments qui sont préciser sur ma carte d'électeur;Inscription sur liste électorale;02 - Elections
bonjour j'aimerais modifier des indications qui figurent sur ma mon document de liste électorale;Inscription sur liste électorale;02 - Elections
je viens m'inscrire pour voter;Inscription sur liste électorale;02 - Elections
bonjour je viens pour m'inscrire sur la liste électorale car j'ai eu 18 ans cette année;Inscription sur liste électorale;02 - Elections
bonjour je serai prochainement votre prochain mère je voudrais que vous me réveiller sur la piste avec Toral merci;Inscription sur liste électorale;02 - Elections
Bonjour je voudrais récupérer ma carte d'électeur comment puis-je faire merci;Inscription sur liste électorale;02 - Elections
je suis venu pour je suis Trangé je suis venu pour pour voir si je le droit de m'inscrire sera sur la liste électorale;Inscription sur liste électorale;02 - Elections
Bonjour Dans le cadre des élections prochaines je suis venu avec mon jeune fils pour pour l'enregistrer sur la liste électorale;Inscription sur liste électorale;02 - Elections
aujourd'hui avec mon jeune fille et donc il a 18 ans et on aimerait bien la cire sur la liste électorale;Inscription sur liste électorale;02 - Elections
bonjour Ma fille vient d'avoir 18 ans et je souhaiterais inscrire pour les prochaines élections municipales;Inscription sur liste électorale;02 - Elections
Bonjour Je suis actuellement en Guadeloupe et j'aimerais savoir si je peux m'inscrire sur la liste électorale en métropole;Inscription sur liste électorale;02 - Elections
Bonjour J'aimerais voter merci;Inscription sur liste électorale;02 - Elections
Je suis nouveau venu dans la ville de Saint-Gély et je voudrais pouvoir voter;Inscription sur liste électorale;02 - Elections
bonjour je viens pour une inscription sur la liste électorale de ma commune;Inscription sur liste électorale;02 - Elections
je souhaite m'inscrire sur les listes électorales;Inscription sur liste électorale;02 - Elections
carte électorale;Inscription sur liste électorale;02 - Elections
je viens de déposer un dossier d'inscription sur la liste électorale de;Inscription sur liste électorale;02 - Elections
je viens de déposer un dossier d'inscription sur la liste électorale de Roanne;Inscription sur liste électorale;02 - Elections
je souhaite changer l'école de mes enfants;Première Inscription scolaire-changement d'école;03 - Education
oui bonjour je souhaiterais faire un changement d'école pour mon enfant et du coup je viens vous voir pour effectuer la première inscription;Première Inscription scolaire-changement d'école;03 - Education
